modelId,createdAt
bartowski/Meta-Llama-3.1-8B-Instruct-GGUF,2024-07-23 15:36:34
bartowski/Qwen2.5-14B-Instruct-GGUF,2024-09-17 19:29:04
codelion/gemma-3-1b-it-reasoning-grpo-lora,2025-07-17 15:27:42
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,2025-05-29 11:07:47
distilbert/distilgpt2,2022-03-02 23:29:04
dphn/Dolphin3.0-Llama3.2-1B,2024-12-29 22:16:36
dphn/dolphin-2.8-mistral-7b-v02,2024-03-28 06:24:16
facebook/opt-125m,2022-05-11 08:25:17
failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,2024-05-20 03:38:40
feelconstantfear/Llama-3.2-1B-QPTQ,2024-09-26 10:47:48
FinGPT/fingpt-forecaster_dow30_llama2-7b_lora,2023-10-30 07:37:02
FranckLucas08/Fine-Tuned_Lily,2025-06-04 13:56:03
gaunernst/gemma-3-1b-it-int4-awq,2025-03-16 14:34:51
google/flan-t5-base,2022-10-21 10:02:31
google/gemma-3-1b-it,2025-03-10 12:09:00
google/gemma-3-1b-pt,2025-02-20 21:21:06
GRMenon/mental-health-mistral-7b-instructv0.2-finetuned-V2,2023-12-29 06:18:35
grimjim/Llama-3-Instruct-abliteration-LoRA-8B,2024-07-04 23:02:13
grimjim/Llama-3.1-8B-Instruct-abliterated_via_adapter,2024-07-25 16:07:55
Io2007/gemma-3-1b-big,2025-04-12 18:10:05
iqbalamo93/Meta-Llama-3.1-8B-Instruct-GPTQ-Q_8,2024-08-02 19:29:21
jeiku/Aura_Qwen2_v2_7B,2024-06-13 23:40:20
jeiku/dontusethis,2024-06-13 00:09:08
JunHowie/Qwen3-8B-GPTQ-Int4,2025-04-30 08:59:53
KurmaAI/AQUA-1B,2025-06-26 16:01:01
lamptablet/gpt2-Q8_0-GGUF,2024-06-09 12:38:25
lemon07r/Qwen3-R1-SLERP-Q3T-8B,2025-06-19 13:22:11
LunaticPython161/CyberWitch-7B,2024-02-10 23:07:28
