is_reported,is_replied,Model ID,base_model,relationship,Downloads
1,,1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase,FacebookAI/xlm-roberta-base,finetune,4435787
1,,4bit/WizardLM-7B-uncensored-GPTQ,QuixiAI/WizardLM-7B-Uncensored,quantize,37978
1,,abdulmatinomotoso/multi_news_article_title_12000_2,google/pegasus-multi_news,finetune,271
0,,agemagician/mlong-t5-tglobal-base,/,/,47437
1,,aglazkova/bart_finetuned_keyphrase_extraction,facebook/bart-base,finetune,2783524
1,,ahnyeonchan/legendary-river-koalpaca,princeton-nlp/Sheared-LLaMA-1.3B,finetune,16270
0,,AI4PD/ZymCTRL,/,/,298362
1,,ai-forever/FRED-T5-large-spell,ai-forever/FRED-T5-large,finetune,14788
0,,Aitrepreneur/vicuna-7B-1.1-GPTQ-4bit-128g,/,/,1456
1,,akhooli/poetry2023,aubmindlab/aragpt2-medium,quantize,618
0,,aks1s/Thai777_08_38,/,/,213
1,1,alk/t5-small-finetuned-cnn_dailymail-en-es,google-t5/t5-small,finetune,259
1,,amazon/MistralLite,mistralai/Mistral-7B-v0.1,finetune,521228
0,,Arsh-ai/Arsh-llm,/,/,3240
1,,Azazelle/Silicon-Medley,SanjiWatsuki/Silicon-Maid-7B；chargoddard/piano-medley-7b,merge,35623
1,1,Babelscape/t5-base-summarization-claim-extractor,google/flan-t5-base,finetune,3564750
1,,Bainbridge/dialogpt-medium-no_ear,microsoft/DialoGPT-medium,finetune,219
1,,Bainbridge/gpt2-kl_01_03_hscnspecial-hs_cn,openai-community/gpt2-medium,finetune,317
1,,bartowski/Hathor_Fractionate-L3-8B-v.05-exl2,Nitral-Archive/Hathor_Fractionate-L3-8B-v.05,quantize,410
1,,bartowski/NeuralHyperion-2.0-Mistral-7B-GGUF,Locutusque/NeuralHyperion-2.0-Mistral-7B,quantize,5484
1,,bartowski/OrpoLlama-3-8B-GGUF,mlabonne/OrpoLlama-3-8B,quantize,14938
1,,bartowski/Rhea-72b-v0.5-GGUF-broken,davidkim205/Rhea-72b-v0.5,quantize,2610
1,,bigmorning/distilgpt2-lektay2-firstpos,distilbert/distilgpt2,finetune,318
0,,BigSalmon/GPT2Neo1.3BPoints3,/,/,473
0,,BioMistral/BioMistral-7B-BnB.4,/,/,959
0,,blockblockblock/Llama3-8B-Instruct-Replete-Adapted-bpw4.8-exl2,/,/,114
1,,blockblockblock/NuExtract-bpw3.5-exl2,microsoft/Phi-3-mini-4k-instruct,quantize,414
0,,blueapple8259/TinyKo-v5-a,/,/,40095
0,,Bogoo/SmolLM2_trained_for_summarize_concise,/,/,212
0,,Brainiax/DeepSeek-R1-Medical-COT,/,/,921
0,,BunkerBunk/linly-llama-7b-GPTQ,/,/,114
1,,cais/HarmBench-Llama-2-13b-cls,meta-llama/Llama-2-13b-chat-hf,finetune,476852
1,,CAMeL-Lab/arat5-coda,UBC-NLP/AraT5v2-base-1024,finetune,864
0,,cerebras/btlm-3b-8k-base,/,/,2002193
0,,cheonboy/vicuna-7b,/,/,164
1,,CHIH-HUNG/llama-2-13b-FINETUNE1_17w-q_k_v_o_proj,meta-llama/Llama-2-13b-hf,finetune,52403
0,,cllm/deepseekcoder-7b-instruct-spider,/,/,221
1,,ClosedCharacter/Peach-9B-8k-Roleplay,01-ai/Yi-1.5-9B,finetune,6849
0,,cloudyu/llama-3-70B-instruct-dpo-v0.1,/,/,113
1,1,cloudyu/Mixtral_34Bx2_MoE_60B,jondurbin/bagel-dpo-34b-v0.2,merge,127795
1,,codellama/CodeLlama-13b-Instruct-hf,codellama/CodeLlama-34b-hf,finetune,1730610
1,,cognitivecomputations/samantha-mistral-7b,dphn/Dolphin-Mistral-24B-Venice-Edition,finetune,33481
1,1,CyberNative/CyberBase-13b,lmsys/vicuna-13b-v1.5-16k,finetune,5463
1,,cygu/llama-2-7b-logit-watermark-distill-aar-k3,meta-llama/Llama-2-7b-hf,finetune,208
1,,Danielbrdz/Barcenas-9b,01-ai/Yi-1.5-9B-Chat,finetune,1115
0,,DavidAU/L3.1-RP-Hero-InBetween-8B-GGUF,/,/,10508
1,,davidnai/DAVIDNAI-T5-HUG-93520798,google-t5/t5-small,finetune,177
1,1,ddh0/dolphin-2.1-mistral-7b-GGUF-fp16,dphn/dolphin-2.1-mistral-7b,quantize,542
1,,debbiesoon/distilbart,sshleifer/distilbart-xsum-12-3,finetune,343
1,,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,deepseek-ai/DeepSeek-Coder-V2-Lite-Base,finetune,4869529
1,,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,Qwen/Qwen3-8B-Base;deepseek-ai/DeepSeek-R1-0528,merge,2165252
1,,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,meta-llama/Llama-3.3-70B-Instruct,finetune,4078259
1,1,DeusImperator/L3-8B-Stheno-v3.3-32K_exl2_8.05bpw_rpcal_mk2,Sao10K/L3-8B-Stheno-v3.3-32K,quantize,220
1,,DFofanov78/saiga_mistral_7b_gguf,IlyaGusev/saiga_mistral_7b_lora,quantize,698
1,,digitous/Alpacino30b,huggyllama/llama-30b,finetune,52102
